HourDK,PriceArea,FuelAllocationMethod,CO2PerkWh
2024-01-10T20:00:00,DK2,125%,147.340895
2024-01-10T19:00:00,DK1,125%,219.508034
2024-01-10T19:00:00,DK2,125%,238.815797
2024-01-10T18:00:00,DK1,125%,221.69056
2024-01-10T18:00:00,DK2,125%,208.962146
2024-01-10T17:00:00,DK1,125%,224.680166
2024-01-10T17:00:00,DK2,125%,219.15564
2024-01-10T16:00:00,DK1,125%,228.307729
2024-01-10T16:00:00,DK2,125%,171.858982
2024-01-10T15:00:00,DK1,125%,236.705709
2024-01-10T15:00:00,DK2,125%,246.830036
2024-01-10T14:00:00,DK1,125%,238.506979
2024-01-10T14:00:00,DK2,125%,278.54524
2024-01-10T13:00:00,DK1,125%,268.625732
2024-01-10T13:00:00,DK2,125%,267.160399
2024-01-10T12:00:00,DK1,125%,286.125829
2024-01-10T12:00:00,DK2,125%,289.604964
2024-01-10T11:00:00,DK1,125%,285.930887
2024-01-10T11:00:00,DK2,125%,290.520608
2024-01-10T10:00:00,DK1,125%,296.932945
2024-01-10T10:00:00,DK2,125%,297.8306
2024-01-10T09:00:00,DK1,125%,298.993929
2024-01-10T09:00:00,DK2,125%,331.206504
2024-01-10T08:00:00,DK1,125%,280.614134
2024-01-10T08:00:00,DK2,125%,327.50158
2024-01-10T07:00:00,DK1,125%,276.417703
2024-01-10T07:00:00,DK2,125%,335.824933
2024-01-10T06:00:00,DK1,125%,271.089355
2024-01-10T06:00:00,DK2,125%,269.591037
2024-01-10T05:00:00,DK1,125%,231.202617
2024-01-10T05:00:00,DK2,125%,105.423054
2024-01-10T04:00:00,DK1,125%,214.882904
2024-01-10T04:00:00,DK2,125%,69.065633
2024-01-10T03:00:00,DK1,125%,201.016655
2024-01-10T03:00:00,DK2,125%,67.146658
2024-01-10T02:00:00,DK1,125%,195.527563
2024-01-10T02:00:00,DK2,125%,65.760959
2024-01-10T01:00:00,DK1,125%,215.261192
2024-01-10T01:00:00,DK2,125%,85.467183
2024-01-10T00:00:00,DK1,125%,219.020976
2024-01-10T00:00:00,DK2,125%,87.455025
2024-01-09T23:00:00,DK1,125%,222.205719
2024-01-09T23:00:00,DK2,125%,112.86842
2024-01-09T22:00:00,DK1,125%,224.93317
2024-01-09T22:00:00,DK2,125%,102.523135
2024-01-09T21:00:00,DK1,125%,236.663688
2024-01-09T21:00:00,DK2,125%,144.796771
2024-01-09T20:00:00,DK1,125%,237.834003
2024-01-09T20:00:00,DK2,125%,196.795806
2024-01-09T19:00:00,DK1,125%,231.283602
2024-01-09T19:00:00,DK2,125%,230.384142
2024-01-09T18:00:00,DK1,125%,250.430063
2024-01-09T18:00:00,DK2,125%,267.741935
2024-01-09T17:00:00,DK1,125%,257.094636
2024-01-09T17:00:00,DK2,125%,273.196527
2024-01-09T16:00:00,DK1,125%,244.00884
2024-01-09T16:00:00,DK2,125%,272.276085
2024-01-09T15:00:00,DK1,125%,227.647415
2024-01-09T15:00:00,DK2,125%,268.102785
2024-01-09T14:00:00,DK1,125%,233.891582
2024-01-09T14:00:00,DK2,125%,257.630167
2024-01-09T13:00:00,DK1,125%,221.415164
2024-01-09T13:00:00,DK2,125%,242.96116
2024-01-09T12:00:00,DK1,125%,215.661382
2024-01-09T12:00:00,DK2,125%,242.243274
2024-01-09T11:00:00,DK1,125%,203.068765
2024-01-09T11:00:00,DK2,125%,250.038046
2024-01-09T10:00:00,DK1,125%,201.235412
2024-01-09T10:00:00,DK2,125%,252.544512
2024-01-09T09:00:00,DK1,125%,208.557712
2024-01-09T09:00:00,DK2,125%,263.165191
2024-01-09T08:00:00,DK1,125%,204.810044
2024-01-09T08:00:00,DK2,125%,279.117127
2024-01-09T07:00:00,DK1,125%,205.446626
2024-01-09T07:00:00,DK2,125%,282.918724
2024-01-09T06:00:00,DK1,125%,217.346257
2024-01-09T06:00:00,DK2,125%,225.497988
2024-01-09T05:00:00,DK1,125%,203.505239
2024-01-09T05:00:00,DK2,125%,141.135996
2024-01-09T04:00:00,DK1,125%,190.781414
2024-01-09T04:00:00,DK2,125%,118.417228
2024-01-09T03:00:00,DK1,125%,195.471974
2024-01-09T03:00:00,DK2,125%,120.886299
2024-01-09T02:00:00,DK1,125%,213.216609
2024-01-09T02:00:00,DK2,125%,96.777408
2024-01-09T01:00:00,DK1,125%,210.376011
2024-01-09T01:00:00,DK2,125%,97.889653
2024-01-09T00:00:00,DK1,125%,226.232407
2024-01-09T00:00:00,DK2,125%,135.584531
2024-01-08T23:00:00,DK1,125%,248.352448
2024-01-08T23:00:00,DK2,125%,217.587124
2024-01-08T22:00:00,DK1,125%,267.937372
2024-01-08T22:00:00,DK2,125%,199.043372
2024-01-08T21:00:00,DK1,125%,296.823298
2024-01-08T21:00:00,DK2,125%,265.39666
2024-01-08T20:00:00,DK1,125%,344.668445
2024-01-08T20:00:00,DK2,125%,243.161211
2024-01-08T19:00:00,DK1,125%,373.458304
2024-01-08T19:00:00,DK2,125%,244.883134
2024-01-08T18:00:00,DK1,125%,385.182122
2024-01-08T18:00:00,DK2,125%,243.13551
2024-01-08T17:00:00,DK1,125%,383.207679
2024-01-08T17:00:00,DK2,125%,254.204134
2024-01-08T16:00:00,DK1,125%,392.868299
2024-01-08T16:00:00,DK2,125%,265.865261
2024-01-08T15:00:00,DK1,125%,384.164299
2024-01-08T15:00:00,DK2,125%,259.643526
2024-01-08T14:00:00,DK1,125%,356.163036
2024-01-08T14:00:00,DK2,125%,231.730791
2024-01-08T13:00:00,DK1,125%,349.737831
2024-01-08T13:00:00,DK2,125%,212.844944
2024-01-08T12:00:00,DK1,125%,342.118893
2024-01-08T12:00:00,DK2,125%,207.969422
2024-01-08T11:00:00,DK1,125%,353.504888
2024-01-08T11:00:00,DK2,125%,207.350483
2024-01-08T10:00:00,DK1,125%,363.980401
2024-01-08T10:00:00,DK2,125%,212.807037
2024-01-08T09:00:00,DK1,125%,363.8321
2024-01-08T09:00:00,DK2,125%,197.492307
2024-01-08T08:00:00,DK1,125%,346.347911
2024-01-08T08:00:00,DK2,125%,202.657612
2024-01-08T07:00:00,DK1,125%,330.39653
2024-01-08T07:00:00,DK2,125%,197.638895
2024-01-08T06:00:00,DK1,125%,305.685615
2024-01-08T06:00:00,DK2,125%,173.458243
2024-01-08T05:00:00,DK1,125%,277.718836
2024-01-08T05:00:00,DK2,125%,133.127111
2024-01-08T04:00:00,DK1,125%,255.987709
2024-01-08T04:00:00,DK2,125%,89.319319
2024-01-08T03:00:00,DK1,125%,241.263032
2024-01-08T03:00:00,DK2,125%,71.984824
2024-01-08T02:00:00,DK1,125%,227.820946
2024-01-08T02:00:00,DK2,125%,78.832475
2024-01-08T01:00:00,DK1,125%,202.386201
2024-01-08T01:00:00,DK2,125%,57.187107
2024-01-08T00:00:00,DK1,125%,194.796276
2024-01-08T00:00:00,DK2,125%,45.065959
2024-01-07T23:00:00,DK1,125%,221.159767
2024-01-07T23:00:00,DK2,125%,71.236322
2024-01-07T22:00:00,DK1,125%,256.35888
2024-01-07T22:00:00,DK2,125%,75.918564
2024-01-07T21:00:00,DK1,125%,276.267886
2024-01-07T21:00:00,DK2,125%,137.426899
2024-01-07T20:00:00,DK1,125%,279.273821
2024-01-07T20:00:00,DK2,125%,154.848795
2024-01-07T19:00:00,DK1,125%,295.933423
2024-01-07T19:00:00,DK2,125%,130.68992
2024-01-07T18:00:00,DK1,125%,310.568862
2024-01-07T18:00:00,DK2,125%,129.922061
2024-01-07T17:00:00,DK1,125%,325.526233
2024-01-07T17:00:00,DK2,125%,131.371968
2024-01-07T16:00:00,DK1,125%,339.411293
2024-01-07T16:00:00,DK2,125%,160.856425
2024-01-07T15:00:00,DK1,125%,348.300576
2024-01-07T15:00:00,DK2,125%,106.994479
2024-01-07T14:00:00,DK1,125%,341.494333
2024-01-07T14:00:00,DK2,125%,124.683468
2024-01-07T13:00:00,DK1,125%,334.110196
2024-01-07T13:00:00,DK2,125%,154.307954
2024-01-07T12:00:00,DK1,125%,338.114486
2024-01-07T12:00:00,DK2,125%,165.890207
2024-01-07T11:00:00,DK1,125%,327.219851
2024-01-07T11:00:00,DK2,125%,173.482647
2024-01-07T10:00:00,DK1,125%,318.675226
2024-01-07T10:00:00,DK2,125%,193.69055
2024-01-07T09:00:00,DK1,125%,327.456854
2024-01-07T09:00:00,DK2,125%,213.053063
2024-01-07T08:00:00,DK1,125%,317.875472
2024-01-07T08:00:00,DK2,125%,213.890928
2024-01-07T07:00:00,DK1,125%,293.729038
2024-01-07T07:00:00,DK2,125%,204.004406
2024-01-07T06:00:00,DK1,125%,289.834823
2024-01-07T06:00:00,DK2,125%,204.522265
2024-01-07T05:00:00,DK1,125%,287.183917
2024-01-07T05:00:00,DK2,125%,189.189242
2024-01-07T04:00:00,DK1,125%,287.334827
2024-01-07T04:00:00,DK2,125%,184.357346
2024-01-07T03:00:00,DK1,125%,291.28614
2024-01-07T03:00:00,DK2,125%,176.65408
2024-01-07T02:00:00,DK1,125%,292.474268
2024-01-07T02:00:00,DK2,125%,164.063917
2024-01-07T01:00:00,DK1,125%,294.366271
2024-01-07T01:00:00,DK2,125%,162.277332
2024-01-07T00:00:00,DK1,125%,299.668816
2024-01-07T00:00:00,DK2,125%,164.589258
2024-01-06T23:00:00,DK1,125%,302.511668
2024-01-06T23:00:00,DK2,125%,180.198422
2024-01-06T22:00:00,DK1,125%,319.777257
2024-01-06T22:00:00,DK2,125%,188.509056
2024-01-06T21:00:00,DK1,125%,306.316629
2024-01-06T21:00:00,DK2,125%,184.388427
2024-01-06T20:00:00,DK1,125%,303.475881
2024-01-06T20:00:00,DK2,125%,174.787336
2024-01-06T19:00:00,DK1,125%,303.250235
2024-01-06T19:00:00,DK2,125%,174.103002
2024-01-06T18:00:00,DK1,125%,302.23285
2024-01-06T18:00:00,DK2,125%,179.523081
2024-01-06T17:00:00,DK1,125%,295.334537
2024-01-06T17:00:00,DK2,125%,179.146547
2024-01-06T16:00:00,DK1,125%,283.844844
2024-01-06T16:00:00,DK2,125%,179.021994
2024-01-06T15:00:00,DK1,125%,283.365355
2024-01-06T15:00:00,DK2,125%,179.960176
2024-01-06T14:00:00,DK1,125%,275.820951
2024-01-06T14:00:00,DK2,125%,175.207781
2024-01-06T13:00:00,DK1,125%,267.965749
2024-01-06T13:00:00,DK2,125%,168.233127
2024-01-06T12:00:00,DK1,125%,267.83052
2024-01-06T12:00:00,DK2,125%,159.708211
2024-01-06T11:00:00,DK1,125%,268.600188
2024-01-06T11:00:00,DK2,125%,148.456244
2024-01-06T10:00:00,DK1,125%,261.554919
2024-01-06T10:00:00,DK2,125%,149.181049
2024-01-06T09:00:00,DK1,125%,263.080219
2024-01-06T09:00:00,DK2,125%,159.782194
2024-01-06T08:00:00,DK1,125%,254.753629
2024-01-06T08:00:00,DK2,125%,162.54482
2024-01-06T07:00:00,DK1,125%,256.00853
2024-01-06T07:00:00,DK2,125%,159.694459
2024-01-06T06:00:00,DK1,125%,234.986286
2024-01-06T06:00:00,DK2,125%,145.055143
2024-01-06T05:00:00,DK1,125%,230.184002
2024-01-06T05:00:00,DK2,125%,137.306596
2024-01-06T04:00:00,DK1,125%,227.691296
2024-01-06T04:00:00,DK2,125%,132.007861
2024-01-06T03:00:00,DK1,125%,224.755474
2024-01-06T03:00:00,DK2,125%,134.524816
2024-01-06T02:00:00,DK1,125%,215.966057
2024-01-06T02:00:00,DK2,125%,126.719036
2024-01-06T01:00:00,DK1,125%,215.333864
2024-01-06T01:00:00,DK2,125%,132.451422
2024-01-06T00:00:00,DK1,125%,202.044307
2024-01-06T00:00:00,DK2,125%,123.450369
2024-01-05T23:00:00,DK1,125%,174.193066
2024-01-05T23:00:00,DK2,125%,113.131187
2024-01-05T22:00:00,DK1,125%,186.359184
2024-01-05T22:00:00,DK2,125%,126.048693
2024-01-05T21:00:00,DK1,125%,197.174593
2024-01-05T21:00:00,DK2,125%,130.906709
2024-01-05T20:00:00,DK1,125%,184.328082
2024-01-05T20:00:00,DK2,125%,136.275426
2024-01-05T19:00:00,DK1,125%,175.368835
2024-01-05T19:00:00,DK2,125%,135.207116
2024-01-05T18:00:00,DK1,125%,182.110538
2024-01-05T18:00:00,DK2,125%,134.114927
2024-01-05T17:00:00,DK1,125%,182.222276
2024-01-05T17:00:00,DK2,125%,135.704803
2024-01-05T16:00:00,DK1,125%,172.816297
2024-01-05T16:00:00,DK2,125%,137.724755
2024-01-05T15:00:00,DK1,125%,152.298491
2024-01-05T15:00:00,DK2,125%,134.798233
2024-01-05T14:00:00,DK1,125%,153.892968
2024-01-05T14:00:00,DK2,125%,135.632499
2024-01-05T13:00:00,DK1,125%,150.308632
2024-01-05T13:00:00,DK2,125%,135.202439
2024-01-05T12:00:00,DK1,125%,162.31764
2024-01-05T12:00:00,DK2,125%,141.475643
2024-01-05T11:00:00,DK1,125%,139.606964
2024-01-05T11:00:00,DK2,125%,145.059631
2024-01-05T10:00:00,DK1,125%,140.41389
2024-01-05T10:00:00,DK2,125%,152.702065
2024-01-05T09:00:00,DK1,125%,146.29612
2024-01-05T09:00:00,DK2,125%,162.114292
2024-01-05T08:00:00,DK1,125%,120.523804
2024-01-05T08:00:00,DK2,125%,164.734235
2024-01-05T07:00:00,DK1,125%,142.540641
2024-01-05T07:00:00,DK2,125%,167.498566
2024-01-05T06:00:00,DK1,125%,166.182545
2024-01-05T06:00:00,DK2,125%,169.724192
2024-01-05T05:00:00,DK1,125%,170.615111
2024-01-05T05:00:00,DK2,125%,179.501143
2024-01-05T04:00:00,DK1,125%,185.706508
2024-01-05T04:00:00,DK2,125%,183.318288
2024-01-05T03:00:00,DK1,125%,213.925059
2024-01-05T03:00:00,DK2,125%,190.902336
2024-01-05T02:00:00,DK1,125%,230.799146
2024-01-05T02:00:00,DK2,125%,206.790818
2024-01-05T01:00:00,DK1,125%,228.302671
2024-01-05T01:00:00,DK2,125%,218.464803
2024-01-05T00:00:00,DK1,125%,190.046379
2024-01-05T00:00:00,DK2,125%,159.282387
2024-01-04T23:00:00,DK1,125%,183.266398
2024-01-04T23:00:00,DK2,125%,115.585719
2024-01-04T22:00:00,DK1,125%,220.711639
2024-01-04T22:00:00,DK2,125%,178.724652
2024-01-04T21:00:00,DK1,125%,248.365071
2024-01-04T21:00:00,DK2,125%,240.092861
2024-01-04T20:00:00,DK1,125%,273.093801
2024-01-04T20:00:00,DK2,125%,213.7604
2024-01-04T19:00:00,DK1,125%,304.638139
2024-01-04T19:00:00,DK2,125%,239.631168
2024-01-04T18:00:00,DK1,125%,332.667426
2024-01-04T18:00:00,DK2,125%,234.293816
2024-01-04T17:00:00,DK1,125%,323.966412
2024-01-04T17:00:00,DK2,125%,214.764045
2024-01-04T16:00:00,DK1,125%,315.358805
2024-01-04T16:00:00,DK2,125%,204.337995
2024-01-04T15:00:00,DK1,125%,297.704175
2024-01-04T15:00:00,DK2,125%,149.61791
2024-01-04T14:00:00,DK1,125%,254.745205
2024-01-04T14:00:00,DK2,125%,122.956867
2024-01-04T13:00:00,DK1,125%,243.918266
2024-01-04T13:00:00,DK2,125%,132.622009
2024-01-04T12:00:00,DK1,125%,203.631916
2024-01-04T12:00:00,DK2,125%,117.351529
2024-01-04T11:00:00,DK1,125%,185.946086
2024-01-04T11:00:00,DK2,125%,102.915279
2024-01-04T10:00:00,DK1,125%,169.323287
2024-01-04T10:00:00,DK2,125%,88.891185
2024-01-04T09:00:00,DK1,125%,157.104617
2024-01-04T09:00:00,DK2,125%,97.841679
2024-01-04T08:00:00,DK1,125%,138.033704
2024-01-04T08:00:00,DK2,125%,54.945107
2024-01-04T07:00:00,DK1,125%,121.969313
2024-01-04T07:00:00,DK2,125%,60.847826
2024-01-04T06:00:00,DK1,125%,106.763452
2024-01-04T06:00:00,DK2,125%,100.285034
2024-01-04T05:00:00,DK1,125%,143.871615
2024-01-04T05:00:00,DK2,125%,124.432527
2024-01-04T04:00:00,DK1,125%,136.78478
2024-01-04T04:00:00,DK2,125%,122.082817
2024-01-04T03:00:00,DK1,125%,127.238038
2024-01-04T03:00:00,DK2,125%,123.497406
2024-01-04T02:00:00,DK1,125%,86.210345
2024-01-04T02:00:00,DK2,125%,74.011298
2024-01-04T01:00:00,DK1,125%,96.073657
2024-01-04T01:00:00,DK2,125%,78.743061
2024-01-04T00:00:00,DK1,125%,86.15436
2024-01-04T00:00:00,DK2,125%,78.240885
2024-01-03T23:00:00,DK1,125%,89.835119
2024-01-03T23:00:00,DK2,125%,67.93442
2024-01-03T22:00:00,DK1,125%,84.597163
2024-01-03T22:00:00,DK2,125%,52.675047
2024-01-03T21:00:00,DK1,125%,84.364199
2024-01-03T21:00:00,DK2,125%,55.412352
2024-01-03T20:00:00,DK1,125%,80.697988
2024-01-03T20:00:00,DK2,125%,61.422258
2024-01-03T19:00:00,DK1,125%,80.325764
2024-01-03T19:00:00,DK2,125%,43.351262
2024-01-03T18:00:00,DK1,125%,78.010255
2024-01-03T18:00:00,DK2,125%,48.65581
2024-01-03T17:00:00,DK1,125%,100.639246
2024-01-03T17:00:00,DK2,125%,100.610486
2024-01-03T16:00:00,DK1,125%,132.924183
2024-01-03T16:00:00,DK2,125%,132.060957
2024-01-03T15:00:00,DK1,125%,132.340372
2024-01-03T15:00:00,DK2,125%,118.814695
2024-01-03T14:00:00,DK1,125%,128.419752
2024-01-03T14:00:00,DK2,125%,117.446029
2024-01-03T13:00:00,DK1,125%,129.56528
2024-01-03T13:00:00,DK2,125%,111.850016
2024-01-03T12:00:00,DK1,125%,124.99629
2024-01-03T12:00:00,DK2,125%,109.744699
2024-01-03T11:00:00,DK1,125%,124.570319
2024-01-03T11:00:00,DK2,125%,108.301752
2024-01-03T10:00:00,DK1,125%,128.474235
2024-01-03T10:00:00,DK2,125%,113.406799
2024-01-03T09:00:00,DK1,125%,136.762022
2024-01-03T09:00:00,DK2,125%,118.354756
2024-01-03T08:00:00,DK1,125%,137.612844
2024-01-03T08:00:00,DK2,125%,118.445534
2024-01-03T07:00:00,DK1,125%,112.325939
2024-01-03T07:00:00,DK2,125%,116.154885
2024-01-03T06:00:00,DK1,125%,113.160499
2024-01-03T06:00:00,DK2,125%,105.00626
2024-01-03T05:00:00,DK1,125%,120.84134
2024-01-03T05:00:00,DK2,125%,103.831001
2024-01-03T04:00:00,DK1,125%,124.446095
2024-01-03T04:00:00,DK2,125%,103.501413
2024-01-03T03:00:00,DK1,125%,118.605706
2024-01-03T03:00:00,DK2,125%,101.980402
2024-01-03T02:00:00,DK1,125%,115.099743
2024-01-03T02:00:00,DK2,125%,100.687448
2024-01-03T01:00:00,DK1,125%,118.463365
2024-01-03T01:00:00,DK2,125%,101.191432
2024-01-03T00:00:00,DK1,125%,117.787477
2024-01-03T00:00:00,DK2,125%,100.417362
2024-01-02T23:00:00,DK1,125%,110.543028
2024-01-02T23:00:00,DK2,125%,98.899035
2024-01-02T22:00:00,DK1,125%,102.905134
2024-01-02T22:00:00,DK2,125%,96.66551
2024-01-02T21:00:00,DK1,125%,114.892192
2024-01-02T21:00:00,DK2,125%,97.730615
2024-01-02T20:00:00,DK1,125%,101.239225
2024-01-02T20:00:00,DK2,125%,93.516005
2024-01-02T19:00:00,DK1,125%,121.954831
2024-01-02T19:00:00,DK2,125%,74.139039
2024-01-02T18:00:00,DK1,125%,66.266937
2024-01-02T18:00:00,DK2,125%,35.160414
2024-01-02T17:00:00,DK1,125%,62.438723
2024-01-02T17:00:00,DK2,125%,34.602811
2024-01-02T16:00:00,DK1,125%,69.211942
2024-01-02T16:00:00,DK2,125%,38.954456
2024-01-02T15:00:00,DK1,125%,66.484424
2024-01-02T15:00:00,DK2,125%,37.916128
2024-01-02T14:00:00,DK1,125%,65.749143
2024-01-02T14:00:00,DK2,125%,40.179652
2024-01-02T13:00:00,DK1,125%,73.183759
2024-01-02T13:00:00,DK2,125%,41.406082
2024-01-02T12:00:00,DK1,125%,66.962871
2024-01-02T12:00:00,DK2,125%,40.225774
2024-01-02T11:00:00,DK1,125%,68.719279
2024-01-02T11:00:00,DK2,125%,69.238524
2024-01-02T10:00:00,DK1,125%,75.711381
2024-01-02T10:00:00,DK2,125%,80.701551
2024-01-02T09:00:00,DK1,125%,90.839423
2024-01-02T09:00:00,DK2,125%,93.905967
2024-01-02T08:00:00,DK1,125%,91.114549
2024-01-02T08:00:00,DK2,125%,94.174788
2024-01-02T07:00:00,DK1,125%,94.188218
2024-01-02T07:00:00,DK2,125%,99.156252
2024-01-02T06:00:00,DK1,125%,90.338997
2024-01-02T06:00:00,DK2,125%,102.990108
2024-01-02T05:00:00,DK1,125%,90.998384
2024-01-02T05:00:00,DK2,125%,102.160386
2024-01-02T04:00:00,DK1,125%,98.468336
2024-01-02T04:00:00,DK2,125%,109.901695
2024-01-02T03:00:00,DK1,125%,106.735595
2024-01-02T03:00:00,DK2,125%,111.125443
2024-01-02T02:00:00,DK1,125%,106.665321
2024-01-02T02:00:00,DK2,125%,117.005752
2024-01-02T01:00:00,DK1,125%,105.304121
2024-01-02T01:00:00,DK2,125%,113.775747
2024-01-02T00:00:00,DK1,125%,100.842063
2024-01-02T00:00:00,DK2,125%,108.732704
2024-01-01T23:00:00,DK1,125%,93.23887
2024-01-01T23:00:00,DK2,125%,103.751222
2024-01-01T22:00:00,DK1,125%,102.942192
2024-01-01T22:00:00,DK2,125%,106.582592
2024-01-01T21:00:00,DK1,125%,111.118725
2024-01-01T21:00:00,DK2,125%,105.14944
2024-01-01T20:00:00,DK1,125%,117.515419
2024-01-01T20:00:00,DK2,125%,102.826408
2024-01-01T19:00:00,DK1,125%,121.159708
2024-01-01T19:00:00,DK2,125%,103.262708
2024-01-01T18:00:00,DK1,125%,121.928059
2024-01-01T18:00:00,DK2,125%,106.084414
2024-01-01T17:00:00,DK1,125%,124.320148
2024-01-01T17:00:00,DK2,125%,104.713873
2024-01-01T16:00:00,DK1,125%,118.781134
2024-01-01T16:00:00,DK2,125%,100.223435
2024-01-01T15:00:00,DK1,125%,110.729063
2024-01-01T15:00:00,DK2,125%,101.805056
2024-01-01T14:00:00,DK1,125%,102.605839
2024-01-01T14:00:00,DK2,125%,93.473354
2024-01-01T13:00:00,DK1,125%,95.49642
2024-01-01T13:00:00,DK2,125%,84.084467
2024-01-01T12:00:00,DK1,125%,92.41592
2024-01-01T12:00:00,DK2,125%,81.775983
2024-01-01T11:00:00,DK1,125%,88.620147
2024-01-01T11:00:00,DK2,125%,79.036772
2024-01-01T10:00:00,DK1,125%,88.66844
2024-01-01T10:00:00,DK2,125%,81.952938
2024-01-01T09:00:00,DK1,125%,88.318707
2024-01-01T09:00:00,DK2,125%,87.418764
2024-01-01T08:00:00,DK1,125%,98.465996
2024-01-01T08:00:00,DK2,125%,91.511336
2024-01-01T07:00:00,DK1,125%,97.018848
2024-01-01T07:00:00,DK2,125%,89.240178
2024-01-01T06:00:00,DK1,125%,97.816998
2024-01-01T06:00:00,DK2,125%,86.385032
2024-01-01T05:00:00,DK1,125%,97.175195
2024-01-01T05:00:00,DK2,125%,81.147473
2024-01-01T04:00:00,DK1,125%,96.594574
2024-01-01T04:00:00,DK2,125%,80.27317
2024-01-01T03:00:00,DK1,125%,92.8173
2024-01-01T03:00:00,DK2,125%,83.157084
2024-01-01T02:00:00,DK1,125%,89.731359
2024-01-01T02:00:00,DK2,125%,81.248261
2024-01-01T01:00:00,DK1,125%,90.229592
2024-01-01T01:00:00,DK2,125%,85.657321
2024-01-01T00:00:00,DK1,125%,87.006912
2024-01-01T00:00:00,DK2,125%,81.957853
2023-12-31T23:00:00,DK1,125%,86.251466
2023-12-31T23:00:00,DK2,125%,76.816452
2023-12-31T22:00:00,DK1,125%,83.989431
2023-12-31T22:00:00,DK2,125%,73.136927
2023-12-31T21:00:00,DK1,125%,84.64458
2023-12-31T21:00:00,DK2,125%,69.123141
2023-12-31T20:00:00,DK1,125%,80.795322
2023-12-31T20:00:00,DK2,125%,65.704079
2023-12-31T19:00:00,DK1,125%,78.519187
2023-12-31T19:00:00,DK2,125%,64.455115
2023-12-31T18:00:00,DK1,125%,71.540257
2023-12-31T18:00:00,DK2,125%,60.371608
2023-12-31T17:00:00,DK1,125%,67.111325
2023-12-31T17:00:00,DK2,125%,58.120963
2023-12-31T16:00:00,DK1,125%,66.826884
2023-12-31T16:00:00,DK2,125%,58.574162
2023-12-31T15:00:00,DK1,125%,66.649836
2023-12-31T15:00:00,DK2,125%,61.283893
2023-12-31T14:00:00,DK1,125%,62.580185
2023-12-31T14:00:00,DK2,125%,62.238084
2023-12-31T13:00:00,DK1,125%,60.72209
2023-12-31T13:00:00,DK2,125%,59.947522
2023-12-31T12:00:00,DK1,125%,62.472812
2023-12-31T12:00:00,DK2,125%,61.299115
2023-12-31T11:00:00,DK1,125%,67.624645
2023-12-31T11:00:00,DK2,125%,64.348743
2023-12-31T10:00:00,DK1,125%,71.776018
2023-12-31T10:00:00,DK2,125%,68.610622
2023-12-31T09:00:00,DK1,125%,77.111064
